Census_night_population_count,Census_usually_resident_population_count
38187,34632
3025587,3013440
16545,11607
570,558
96,96
177,165
79479,72204
18738,17835
120,111
19467,18627
5226,4971
129,123
31884,29820
2553,2475
3108,2871
492,492
3000,2946
207,207
612,588
1317,1284
267,228
165,162
75,72
5886,5352
23925,16818
35931,29349
258,249
276,264
1602,1272
1245,888
669,636
192,180
81,78
2055,1740
2856,2214
219,189
954,783
75,60
10146,7677
1749,1638
138,117
288,261
267,219
363,336
1356,1131
1446,1365
1548,1485
132,132
7989,7713
138,126
462,408
3009,2733
2517,1911
3477,2649
1341,1281
21048,16245
10179,7797
126,114
37833,37155
798,789
1893,1872
2061,1968
777195,775836
2775,2724
184332,182721
80853,80532
83406,82389
30990,30867
8703,8676
19986,19722
825,795
441,429
3288,3225
135,135
1218,1131
219,216
990,981
1815,1737
1092,777
4668,4653
2040,990
351,336
11925,11811
6246,6219
73965,72612
9756,9672
10356,10086
2505,2475
6687,6033
1626,1608
3963,3729
11337,10623
546,543
837,834
1680,1638
242286,231387
3261,3177
1416,1413
4974,4866
687,675
612,609
6918,6570
234,222
225414,221916
213,201
15240,15132
321,315
459,459
195,192
387,381
477,474
1644,1632
369,348
4305,4245
9348,9171
3543,3501
3,3
20559,18141
36621,35664
5256,5250
2367,2337
3687,3630
6234,6135
108,105
1425,1389
801,801
138,135
159,147
504,489
8340,8268
132,129
3090,2994
1296,1293
1551,1533
4512,4425
2697,2688
2178,1854
252,246
927,921
1296,1278
267,261
294,288
813,807
1353,1320
342,321
10245,9798
2211,1824
144,135
7023,6663
3072,2886
1695,1620
123,114
1557,1425
684,648
135,126
354,327
159,156
450,423
7290,7221
591,564
333,324
642,636
915,855
1107,1047
1710,1701
342,342
1644,1635
378,375
105,102
153,153
234,231
207,201
1077,1068
1029,1005
1374,1278
570,549
123,114
6882,6816
45453,45330
4020,4017
6,0
6,0
1236,0
510,0
2361,0
